,group,group_id,name,homepage,description,category,projectrank,show,monthly_downloads,release_count,created_at,updated_at,projectrank_placing,trending,labels,github_id,conda_id,pypi_id,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url
68,True,comp,COMP - Compound,https://github.com/compound-finance,"Created by the Compound Finance Team, Compound Governance Token (COMP) or (sometimes verbally Compound Coin) will be..",defi,4,False,1694.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
69,True,dash,DASH - Dash,https://github.com/dashpay,The project was initially released under the name XCoin (linking the identifier XCO to the monetary amounts..,cryptocurrency,4,False,6218.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
70,True,udt,UDT - Unlock Protocol,https://github.com/unlock-protocol,No description.,others,4,False,7686.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
71,True,egld,EGLD - Elrond,https://github.com/ElrondNetwork,"Technology ecosystem for the new internet. Its smart contracts execution platform is capable of 15,000 TPS, 5s latency..",smart-contract-platform,4,False,2653.3333333333335,,,,2.0,,,,,,,,,,,,,,,,,,,,,
72,True,mkr,MKR - Maker,https://github.com/makerdao,"Utility token, governance token and recapitalization resource of the Maker system.",defi,4,False,3498.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
73,True,kda,KDA - Kadena,https://github.com/kadena-io,"Braided, parallelized Proof Of Work consensus mechanism that improves throughput and scalability while maintaining the..",smart-contract-platform,4,False,1606.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
74,True,rdn,RDN - Raiden Network Token,https://github.com/raiden-network,"Off-chain scaling solution, enabling near-instant, low-fee and scalable payments. Its complementary to the Ethereum..",web3,4,False,1352.0,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
75,True,waxp,WAXP - WAX,https://github.com/worldwide-asset-exchange,WAX - Worldwide Asset eXchange Its a decentralized platform that enables anyone to operate a fully functioning virtual..,metaverse,4,False,6616.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
76,True,audio,AUDIO - Audius,https://github.com/AudiusProject,"Native platform token of the Audius streaming protocol. AUDIO is staked for security, feature access and governance..",metaverse,4,False,2578.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
77,True,zrx,ZRX - 0x,https://github.com/0xProject,"An Open Protocol For Decentralized Exchange On The Ethereum Blockchain 0x is an open, permissionless protocol allowing..",exchange-tokens,4,False,4760.666666666667,,,,2.0,,['eth'],,,,,,,,,,,,,,,,,,,
78,True,uma,UMA - UMA,https://github.com/UMAprotocol,Decentralized financial contracts platform built to enable Universal Market Access.,defi,4,False,3852.0,,,,1.0,,['eth'],,,,,,,,,,,,,,,,,,,
79,True,anc,ANC - Anchor Protocol,https://github.com/Anchor-Protocol,"Unique decentralized peer to peer internet cryptocurrency that provides for its users. I2P and Tor compatible, it is..",defi,4,False,3124.6666666666665,,,,1.0,,['luna'],,,,,,,,,,,,,,,,,,,
80,True,ont,ONT - Ontology,https://github.com/ontio,New high-performance public blockchain project & a distributed trust collaboration platform. Ontology provides new..,smart-contract-platform,4,False,3766.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
